14222 MainThread 140339146909504 2024-03-27 Wednesday 19:00:56  ci_logger.py : INFO  start to record log in logs/main-2024-03-27-19:00:56.txt
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:10  analysis.py : DEBUG  combine same test cases job start. Threads number: 40.
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:23  analysis.py : DEBUG  filter 5142315 test cases, reduce test_cases from 8833437 to 3691122
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:23  analysis.py : DEBUG  filter branches and builds with few cases (less than20) job start.
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:25  analysis.py : DEBUG  filter 39 branches, reduce test_cases from 3691122 to 3691023
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:25  analysis.py : DEBUG  combine same config job start. Threads number: 40.
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:31  analysis.py : DEBUG  filter 2864658 test cases, reduce test_cases from 3691023 to 826365
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:31  analysis.py : INFO  select gcc-12-lkftconfig as build name with 1648.2058111380145 test cases per build, total 413 builds.
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:31  analysis.py : DEBUG  filter branches and builds with few cases (less than20) job start.
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:32  analysis.py : DEBUG  filter 87 branches, reduce test_cases from 680709 to 680709
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:24:32  analysis.py : DEBUG  filter test cases with no file job start. Threads number: 40.
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:24  analysis.py : DEBUG  filter 1225 test cases, reduce test_cases from 675165 to 673940
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:24  analysis.py : INFO  d53c3eaaef6a05fec04e8b5990d97d7216eb5e42/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:24  analysis.py : INFO  736b378b29d89c8c3567fa4b2e948be5568aebb8/master: 0 failed / 1599 total. Unique test path count: 1599. Unique file path count: 1599. C: 1423, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:24  analysis.py : INFO  4ea956963f4fca59050a22fcc65f00a85d586e63/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:24  analysis.py : INFO  4173cf6fb6b7d1b4569cca08af318c4561356fb5/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  0cfd8703e7da687924371e9bc77a025bdeba9637/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  5c7ecada25d2086aee607ff7deb69e77faa4aa92/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  36006b1d5c04692924f011aa949e8788f1c604de/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  b68ee1c6131c540a62ecd443be89c406401df091/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  6e98b09da931a00bf4e0477d0fa52748bf28fcce/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  32f7ad0fbe7521de2a5e8f79c33d46110247fd7c/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  cb6fe2ceb667eb78f252d473b03deb23999ab1cf/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  cec24b8b6bb841a19b5c5555b600a511a8988100/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  d06f5a3f7140921ada47d49574ae6fa4de5e2a89/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  35fab9271b7e6d193b47005c4d07369714db4fd1/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  91ec4b0d11fe115581ce2835300558802ce55e6c/master: 1 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  33afd4b76393627477e878b3b195d606e585d816/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  1ae78a14516b9372e4c90a89ac21b259339a3a3a/master: 1 failed / 1615 total. Unique test path count: 1615. Unique file path count: 1615. C: 1439, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  825a0714d2b3883d4f8ff64f6933fb73ee3f1834/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  58390c8ce1bddb6c623f62e7ed36383e7fa5c02f/master: 1 failed / 1600 total. Unique test path count: 1600. Unique file path count: 1600. C: 1424, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  c8c655c34e33544aec9d64b660872ab33c29b5f1/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  865fdb08197e657c59e74a35fa32362b12397f58/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  d7b3ffe2d7e476f11d73b74093006aa936f59e8b/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  21d2be646007a1c5461f4233749c368693aa6d9f/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  7df047b3f0aa0c0ba730b6be9ab35c0053a3d4fd/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  348551ddaf311c76b01cdcbaf61b6fef06a49144/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  89b7fd5d7f3ceda236cc1d0026986a5f57ecaf4a/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
14222 MainThread 140339146909504 2024-03-27 Wednesday 19:25:25  analysis.py : INFO  fa31fc82fb775445c176e576304c4098222f47f2/master: 0 failed / 1614 total. Unique test path count: 1614. Unique file path count: 1614. C: 1438, SH: 175, PY: 1Total builds: 1
